,ticker,v,vw,o,c,h,l,t,n
0,BUD,195949135.0,59.8907,60.21,59.31,67.91,52.65,1635739200000,1957405
1,BUD,185073263.0,58.7384,62.43,53.94,67.91,50.59,1641013200000,2105726
2,BUD,176759102.0,57.2436,64.01,55.02,66.05,50.59,1643691600000,2060645
3,BUD,177299717.0,55.898,59.94,52.51,63.45,50.59,1646110800000,2053783
4,BUD,160603099.0,54.0878,60.79,48.57,63.45,47.23,1648785600000,1951050
5,BUD,170988591.0,51.7573,56.98,45.23,58.37,44.51,1651377600000,2004952
6,BUD,172949903.0,50.9943,56.4,55.53,56.59,44.51,1654056000000,2015899
7,BUD,165669941.0,51.654,53.92,59.37,61.63,44.51,1656648000000,1912934
8,BUD,166972811.0,52.6036,53.0,59.8,61.89,44.51,1659326400000,1925862
9,BUD,165184132.0,53.8958,47.47,60.79,61.89,44.51,1662004800000,1955362
10,BUD,169385926.0,56.4788,44.99,62.18,62.53,44.51,1664596800000,2075917
11,BUD,190980699.0,60.6309,51.44,65.65,67.09,48.685,1667275200000,2286932
12,BUD,255697533.0,60.4331,60.31,56.36,67.09,52.93,1672549200000,3015781
13,BUD,263647158.0,60.0174,60.66,58.56,67.09,52.93,1675227600000,3082445
14,BUD,282078590.0,59.5769,61.2,56.2,67.09,52.93,1677646800000,3223618
15,BUD,282846458.0,58.8888,66.52,56.44,67.01,52.93,1680321600000,3239070
16,BUD,275081831.0,56.8354,65.11,53.28,66.32,51.66,1682913600000,3257020
17,BUD,234596875.0,55.8386,53.71,56.835,59.21,51.66,1685592000000,2754035
18,BUD,175473641.0,55.8136,57.0,56.835,59.21,51.66,1688184000000,2101356
19,BUD,135735040.0,55.264,57.15,56.835,58.28,51.66,1690862400000,1681592
20,BUD,89242280.0,54.595,56.91,56.835,57.79,51.66,1693540800000,1135227
21,BUD,52038650.0,53.5089,54.51,56.835,56.965,51.66,1696132800000,656705
22,TAP,193433235.0,49.1388,44.11,53.77,57.45,42.6,1635739200000,2230835
23,TAP,194100944.0,51.7757,46.54,55.77,57.45,46.47,1641013200000,2422641
24,TAP,189620132.0,53.0272,47.58,58.22,59.38,47.34,1643691600000,2409340
25,TAP,188182783.0,54.1061,51.76,56.09,60.12,49.12,1646110800000,2434905
